10:30:41 [AccountInfo] Account created (Account: teste, Password: 1212 )
13:52:35 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
13:53:03 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
13:58:46 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
13:59:10 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:10:57 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:11:57 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:42:16 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:42:46 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:43:56 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:44:08 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:47:31 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
15:47:43 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:02:10 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:04:11 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:04:12 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:04:25 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:12:10 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:12:28 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:13:36 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:14:17 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:24:18 [AccountInfo] Account connected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
16:24:46 [AccountInfo] Account disconnected (Account: admin, IpAddress: 45.71.224.0, GameServerCode: 0)
